tempo (s),modo_1,modo_2,modo_3,modo_4,modo_5,modo_6,modo_7,modo_8,modo_9,modo_10,modo_11,modo_12,modo_13,modo_14,modo_15,modo_16,modo_17,modo_18,modo_19,modo_20
81.17913832199547,8.957259972304791e-06,1.4582362110146526e-06,4.781315596692668e-07,-5.9554831003192436e-08,-6.94569748808885e-08,-3.773413953205134e-08,-6.709757042418567e-08,-2.7467898440684457e-08,1.460873095747088e-08,1.6513982014278833e-09,-9.430247272663165e-09,1.5709709062631257e-08,7.206780850830379e-09,3.124126278571154e-08,4.531045658012936e-09,1.5209562832384273e-09,-2.629297851341128e-09,-9.686988217659491e-09,-7.010983577733771e-09,2.624624737858741e-09
81.20181405895691,1.0040311178651401e-05,1.2019045431182184e-06,-3.0336015599109733e-07,7.629859837473607e-08,-5.313202511888305e-08,-8.968757310721596e-08,-5.560227691002008e-08,-2.5893707622169347e-08,-1.3794286367084354e-08,-7.093904568261389e-09,-3.7880651590885765e-09,-7.021432661273606e-09,1.5858294483921957e-09,2.6879866163865896e-08,1.1252322213083462e-09,-2.4858813385727e-09,3.261843658938282e-09,5.423611725766443e-09,1.143142102743463e-08,1.0334480142838267e-08
81.22448979591837,5.1162861646563775e-06,-1.2956492321320662e-06,3.0171610462561286e-08,-1.1558358245204398e-07,3.065045578709741e-08,-4.32221698860881e-08,-5.0391936456862326e-08,8.402790164336012e-09,-5.583356097822671e-08,-5.530041219603868e-09,2.1205913578688675e-08,-1.3693178805925402e-08,-6.609035782502133e-09,1.0207249969038506e-08,2.6090945207517343e-09,7.153796827832858e-09,7.578738293477678e-09,-1.3033068967968402e-08,-3.4650051944250516e-09,-8.188068998076526e-09
81.24716553287982,-2.2129406080547496e-06,-5.506683388633957e-07,2.0496990932105834e-07,1.2198140624587458e-07,5.319984950449437e-09,2.2756749787910608e-09,7.647835426007062e-09,-2.8927847406210247e-08,-3.8067896903894006e-11,5.892192126822201e-09,-5.031206816091137e-09,-9.686046029209504e-09,-3.1977735559296876e-08,-1.2065013677585445e-08,3.930820646841849e-09,2.8409475344505574e-09,5.900832903760547e-09,-6.021610499667924e-09,4.676030601402136e-09,1.318110478537268e-08
81.26984126984127,-6.613073074939915e-06,2.898121884203869e-06,1.5613898377723633e-06,-2.1104290981716345e-07,4.828318778216258e-07,-1.231428148774803e-08,-5.286761130536153e-08,7.078595051131763e-08,-6.745327805655393e-08,-7.867997802754951e-08,-1.2822920279214125e-08,1.616603287968134e-08,-2.7680177945210624e-08,-2.845924428782409e-08,3.526295790124294e-09,-1.5891865168916498e-09,-1.8016938592987784e-08,5.225684653964717e-09,-1.3351065089020578e-08,-1.6161714953942485e-08
81.29251700680273,-9.239198373322354e-06,1.5624633199421222e-06,-1.29841827172301e-06,5.758924426567123e-07,-4.437632953283283e-08,3.815420659649869e-07,7.082756079302183e-09,1.1097998806959829e-07,-5.249676969391532e-08,4.016808424926659e-08,1.6120326778910014e-07,-1.1620047874093171e-08,5.7529267144053035e-08,-4.907753970297704e-09,9.546815051070121e-09,2.8858524366994704e-08,-5.2063311494757306e-09,1.0043956832540753e-08,8.815206974641967e-09,-3.624601215295773e-09
81.31519274376417,-4.8081129303381905e-06,-1.9580731557226598e-06,1.0904423611496002e-06,5.252513426909999e-08,9.909473594686783e-08,9.374890450420343e-08,-5.914111211822927e-09,-5.4408488945665226e-08,3.168152703052211e-08,-6.95417732431216e-08,7.702725621644887e-08,5.750601034972703e-08,-2.0749261794862223e-08,-1.0390970897107109e-10,-9.33852251113311e-09,2.4620321507631297e-08,2.4499375564252623e-08,8.192056700746305e-09,-7.165451274704999e-09,-6.52941669977005e-09
81.33786848072562,5.656685150957604e-06,-9.428903473886453e-07,-2.925665470360529e-07,1.5758751454911032e-07,2.9307230066795054e-07,-2.347557169952398e-08,-4.40817498071534e-09,1.4515035034161822e-08,2.5214694335656882e-08,-9.228773625167537e-08,1.172939067817222e-07,9.393521943137848e-08,-4.970420403510213e-09,-4.144489465295021e-08,4.018290967750883e-10,1.6275570856152694e-08,1.7205327696596325e-08,1.2773110683847343e-08,2.3335101737724635e-08,7.742713654968802e-09
81.36054421768708,1.2220268708279794e-05,3.3689375989149475e-06,-3.391974327677828e-07,1.3730144971456153e-07,-1.173363880747104e-07,3.394114903193278e-08,2.6096623631455575e-08,7.79658029251654e-08,-7.299496151696592e-08,-1.0306893172414514e-08,9.222402232984154e-08,4.072602513643285e-08,7.3542189937882255e-09,4.978402797865931e-09,1.2841486673487143e-09,-2.9650280179329806e-09,1.3757055158952578e-08,-2.169333022440599e-09,-1.0873253842532683e-09,9.455679275787764e-09
81.38321995464852,9.850112307575778e-06,1.4066020642482136e-06,7.535236437871835e-07,-5.0751263309555003e-08,-1.6164460975864704e-07,8.558873630548997e-08,1.0283596906329768e-07,-1.0789259752040736e-08,4.1460570548600924e-08,2.5319796460475372e-08,-7.499435503718444e-08,-5.494506362765315e-08,-1.603460782511127e-08,1.5535945429492102e-08,2.023138654183627e-09,-6.477099953668249e-09,-2.346072833766793e-08,-3.5186735206993475e-09,2.0426572972041197e-08,3.744300446287779e-10
